NUMBER BIN HEX
-39 11111111111111111111111111011001 FFFFFFD9
-36 11111111111111111111111111011100 FFFFFFDC
8 1000 8
34 100010 22
17 10001 11
49 110001 31
5 101 5
39 100111 27
0 0 0
33 100001 21
12 1100 C
-6 11111111111111111111111111111010 FFFFFFFA
27 11011 1B
-4 11111111111111111111111111111100 FFFFFFFC
-38 11111111111111111111111111011010 FFFFFFDA
26 11010 1A
49 110001 31
29 11101 1D
42 101010 2A
-16 11111111111111111111111111110000 FFFFFFF0
-28 11111111111111111111111111100100 FFFFFFE4
34 100010 22
20 10100 14
0 0 0
25 11001 19
45 101101 2D
3 11 3
-46 11111111111111111111111111010010 FFFFFFD2
-46 11111111111111111111111111010010 FFFFFFD2
29 11101 1D
33 100001 21
29 11101 1D
26 11010 1A
-5 11111111111111111111111111111011 FFFFFFFB
-36 11111111111111111111111111011100 FFFFFFDC
12 1100 C
45 101101 2D
-50 11111111111111111111111111001110 FFFFFFCE
0 0 0
-6 11111111111111111111111111111010 FFFFFFFA
-39 11111111111111111111111111011001 FFFFFFD9
35 100011 23
26 11010 1A
-35 11111111111111111111111111011101 FFFFFFDD
-42 11111111111111111111111111010110 FFFFFFD6
14 1110 E
-3 11111111111111111111111111111101 FFFFFFFD
22 10110 16
-47 11111111111111111111111111010001 FFFFFFD1
12 1100 C
-17 11111111111111111111111111101111 FFFFFFEF
-31 11111111111111111111111111100001 FFFFFFE1
-25 11111111111111111111111111100111 FFFFFFE7
-35 11111111111111111111111111011101 FFFFFFDD
-18 11111111111111111111111111101110 FFFFFFEE
14 1110 E
37 100101 25
-8 11111111111111111111111111111000 FFFFFFF8
-41 11111111111111111111111111010111 FFFFFFD7
-50 11111111111111111111111111001110 FFFFFFCE
-9 11111111111111111111111111110111 FFFFFFF7
2 10 2
12 1100 C
-39 11111111111111111111111111011001 FFFFFFD9
-17 11111111111111111111111111101111 FFFFFFEF
0 0 0
27 11011 1B
28 11100 1C
45 101101 2D
-44 11111111111111111111111111010100 FFFFFFD4
28 11100 1C
35 100011 23
-33 11111111111111111111111111011111 FFFFFFDF
43 101011 2B
-4 11111111111111111111111111111100 FFFFFFFC
23 10111 17
-49 11111111111111111111111111001111 FFFFFFCF
49 110001 31
-7 11111111111111111111111111111001 FFFFFFF9
-38 11111111111111111111111111011010 FFFFFFDA
-45 11111111111111111111111111010011 FFFFFFD3
5 101 5
-21 11111111111111111111111111101011 FFFFFFEB
26 11010 1A
-2 11111111111111111111111111111110 FFFFFFFE
-24 11111111111111111111111111101000 FFFFFFE8
6 110 6
-45 11111111111111111111111111010011 FFFFFFD3
-4 11111111111111111111111111111100 FFFFFFFC
15 1111 F
0 0 0
-17 11111111111111111111111111101111 FFFFFFEF
-35 11111111111111111111111111011101 FFFFFFDD
43 101011 2B
45 101101 2D
-35 11111111111111111111111111011101 FFFFFFDD
-8 11111111111111111111111111111000 FFFFFFF8
28 11100 1C
47 101111 2F
34 100010 22
-24 11111111111111111111111111101000 FFFFFFE8
-42 11111111111111111111111111010110 FFFFFFD6
-13 11111111111111111111111111110011 FFFFFFF3
14 1110 E
-45 11111111111111111111111111010011 FFFFFFD3
-35 11111111111111111111111111011101 FFFFFFDD
27 11011 1B
-12 11111111111111111111111111110100 FFFFFFF4
-19 11111111111111111111111111101101 FFFFFFED
-20 11111111111111111111111111101100 FFFFFFEC
-14 11111111111111111111111111110010 FFFFFFF2
20 10100 14
30 11110 1E
12 1100 C
-36 11111111111111111111111111011100 FFFFFFDC
-47 11111111111111111111111111010001 FFFFFFD1
-27 11111111111111111111111111100101 FFFFFFE5
-3 11111111111111111111111111111101 FFFFFFFD
6 110 6
36 100100 24
9 1001 9
-16 11111111111111111111111111110000 FFFFFFF0
36 100100 24
-27 11111111111111111111111111100101 FFFFFFE5
7 111 7
-6 11111111111111111111111111111010 FFFFFFFA
-5 11111111111111111111111111111011 FFFFFFFB
5 101 5
47 101111 2F
23 10111 17
-48 11111111111111111111111111010000 FFFFFFD0
-24 11111111111111111111111111101000 FFFFFFE8
40 101000 28
-4 11111111111111111111111111111100 FFFFFFFC
-18 11111111111111111111111111101110 FFFFFFEE
-19 11111111111111111111111111101101 FFFFFFED
14 1110 E
15 1111 F
1 1 1
24 11000 18
-9 11111111111111111111111111110111 FFFFFFF7
-50 11111111111111111111111111001110 FFFFFFCE
18 10010 12
15 1111 F
30 11110 1E
44 101100 2C
9 1001 9
19 10011 13
33 100001 21
41 101001 29
-24 11111111111111111111111111101000 FFFFFFE8
43 101011 2B
48 110000 30
-23 11111111111111111111111111101001 FFFFFFE9
7 111 7
28 11100 1C
8 1000 8
-2 11111111111111111111111111111110 FFFFFFFE
37 100101 25
42 101010 2A
-17 11111111111111111111111111101111 FFFFFFEF
-6 11111111111111111111111111111010 FFFFFFFA
36 100100 24
22 10110 16
27 11011 1B
31 11111 1F
-47 11111111111111111111111111010001 FFFFFFD1
-43 11111111111111111111111111010101 FFFFFFD5
0 0 0
27 11011 1B
30 11110 1E
12 1100 C
-15 11111111111111111111111111110001 FFFFFFF1
-19 11111111111111111111111111101101 FFFFFFED
-42 11111111111111111111111111010110 FFFFFFD6
-37 11111111111111111111111111011011 FFFFFFDB
31 11111 1F
-10 11111111111111111111111111110110 FFFFFFF6
18 10010 12
33 100001 21
-15 11111111111111111111111111110001 FFFFFFF1
17 10001 11
25 11001 19
-25 11111111111111111111111111100111 FFFFFFE7
-5 11111111111111111111111111111011 FFFFFFFB
33 100001 21
-13 11111111111111111111111111110011 FFFFFFF3
33 100001 21
-10 11111111111111111111111111110110 FFFFFFF6
47 101111 2F
47 101111 2F
-13 11111111111111111111111111110011 FFFFFFF3
-32 11111111111111111111111111100000 FFFFFFE0
1 1 1
1 1 1
-25 11111111111111111111111111100111 FFFFFFE7
-33 11111111111111111111111111011111 FFFFFFDF
16 10000 10
17 10001 11
4 100 4
